Category,Term,Count,P-Value,Benjamini
GOTERM_CC_DIRECT,cytoplasm,73.0,5.7e-16,1.3e-13
GOTERM_CC_DIRECT,cytosol,66.0,6.6e-15,7.3e-13
GOTERM_CC_DIRECT,nucleus,66.0,1.2e-11,9.1e-10
GOTERM_MF_DIRECT,protein binding,96.0,1.2e-10,3.5e-08
GOTERM_CC_DIRECT,nucleoplasm,44.0,4e-07,2.2e-05
GOTERM_MF_DIRECT,ubiquitin protein ligase binding,12.0,4.2e-07,6.1e-05
GOTERM_CC_DIRECT,protein-containing complex,17.0,1.5e-06,6.7e-05
KEGG_PATHWAY,Pathways in cancer,16.0,1.7e-06,0.00031
KEGG_PATHWAY,Shigellosis,11.0,6.2e-06,0.00059
KEGG_PATHWAY,Autophagy - animal,9.0,1.6e-05,0.00099
KEGG_PATHWAY,Endocrine resistance,7.0,5e-05,0.0023
GOTERM_BP_DIRECT,apoptotic process,14.0,5.6e-05,0.03
GOTERM_BP_DIRECT,positive regulation of transcription by RNA polymerase II,19.0,5.9e-05,0.03
KEGG_PATHWAY,Pancreatic cancer,6.0,0.00016,0.006
GOTERM_BP_DIRECT,positive regulation of canonical NF-kappaB signal transduction,8.0,0.00023,0.075
GOTERM_BP_DIRECT,cellular response to oxidative stress,6.0,0.00031,0.075
KEGG_PATHWAY,PD-L1 expression and PD-1 checkpoint pathway in cancer,6.0,0.00033,0.01
GOTERM_MF_DIRECT,identical protein binding,22.0,0.00034,0.032
GOTERM_BP_DIRECT,ubiquitin-dependent protein catabolic process,8.0,0.00037,0.075
GOTERM_BP_DIRECT,protein K63-linked ubiquitination,5.0,0.00048,0.081
GOTERM_MF_DIRECT,RNA binding,19.0,0.00064,0.047
KEGG_PATHWAY,HIF-1 signaling pathway,6.0,0.00083,0.022
GOTERM_MF_DIRECT,protein kinase binding,10.0,0.00087,0.051
KEGG_PATHWAY,Apoptosis - multiple species,4.0,0.0012,0.029
KEGG_PATHWAY,NOD-like receptor signaling pathway,7.0,0.0015,0.032
KEGG_PATHWAY,Kaposi sarcoma-associated herpesvirus infection,7.0,0.002,0.037
GOTERM_BP_DIRECT,DNA damage response,8.0,0.0022,0.31
GOTERM_MF_DIRECT,ubiquitin-protein transferase activity,7.0,0.0022,0.11
KEGG_PATHWAY,Ubiquitin mediated proteolysis,6.0,0.0026,0.044
KEGG_PATHWAY,Human immunodeficiency virus 1 infection,7.0,0.003,0.044
KEGG_PATHWAY,Longevity regulating pathway,5.0,0.0031,0.044
GOTERM_BP_DIRECT,mitotic spindle organization,4.0,0.0039,0.36
GOTERM_BP_DIRECT,JNK cascade,4.0,0.0041,0.36
