#rank	DIAMOnD_node	p_hyper
1	3676	8.98634729096e-17
2	7412	6.97934798852e-17
3	7189	4.32016376201e-15
4	1080	8.10400374495e-15
5	1386	7.96313473091e-14
6	1277	1.04881485994e-13
7	92421	2.30202775966e-13
8	3932	5.9748302432e-13
9	3965	2.00998836876e-12
10	4627	3.26961989325e-12
11	867	2.83239914667e-12
12	6772	4.31953812897e-12
13	81	2.40990451626e-11
14	6714	9.63755166502e-12
15	5747	1.37074084383e-11
16	5335	1.77867198476e-11
17	5170	9.1414260838e-12
18	3635	4.33347019282e-12
19	3717	3.45086150219e-12
20	5781	5.87133646076e-12
21	7297	1.37871195356e-12
22	1445	2.19507360107e-12
23	1956	1.7642579072e-12
24	2185	6.72391342981e-13
25	3716	1.7911767983e-13
26	7525	2.53495785179e-12
27	6654	7.59239518445e-13
28	3815	4.22561550015e-13
29	2064	6.42725478731e-13
30	2549	2.01736022738e-13
31	5336	6.11775188968e-14
32	2065	2.21937208832e-14
33	4233	5.41763256167e-14
34	2534	1.31631039925e-13
35	5296	4.26815308563e-14
36	917	1.92112302334e-14
37	10451	6.72615353451e-15
38	3937	1.67179158198e-15
39	2066	8.49401414192e-16
40	3702	8.69199551623e-17
41	5295	9.19924202637e-17
42	2206	8.8179448923e-17
43	2885	5.49265608425e-17
44	7006	1.16661865578e-17
45	1796	3.75579339631e-18
46	695	1.87621491206e-17
47	7454	3.4099799179e-18
48	9402	3.68872674398e-18
49	2205	2.83272074798e-19
50	27040	9.34445923997e-19
51	919	3.51687606209e-19
52	9846	1.79598048705e-19
53	5291	6.85202756746e-20
54	7535	2.2329584024e-18
55	29760	2.56110302659e-17
56	5921	2.69758759001e-17
57	5159	2.16328925076e-17
58	1399	3.33439017934e-17
59	51206	3.70420776108e-18
60	5290	4.25456784883e-18
61	868	5.50520243184e-18
62	3560	6.54494600488e-18
63	5293	1.21771774896e-18
64	10006	4.38775285934e-17
65	3636	8.7190949657e-17
66	3558	4.4119765479e-18
67	1438	1.99707748192e-19
68	1437	6.32584927264e-20
69	3567	1.12580479327e-18
70	3562	2.62699731944e-18
71	25759	1.81077752572e-17
72	6777	3.33188869155e-17
73	3559	9.10870921794e-18
74	3563	1.31033834304e-18
75	53358	1.24261432231e-18
76	3568	4.19305921398e-19
77	6776	5.19418921644e-18
78	4254	1.03043290754e-18
79	613	3.2139802954e-18
80	2057	1.20979962334e-17
81	8651	3.0881200745e-16
82	1436	1.52032274066e-17
83	4690	1.29305466372e-16
84	930	1.66235399774e-17
85	71	1.13732564842e-16
86	30011	1.18929984743e-16
87	1398	4.76972804157e-17
88	2322	8.52557124207e-18
89	6461	7.61759596242e-17
90	25	3.68478788317e-17
91	5062	2.25810577341e-17
92	10096	3.4107741676e-17
93	10093	7.63316178814e-18
94	10552	8.90052686227e-19
95	7456	1.5720678606e-19
96	8976	3.46338336009e-20
97	644150	8.01277475476e-20
98	10094	9.79200976255e-20
99	5879	3.24407886925e-20
100	147179	2.78110474382e-21
