gene_id,symbol,full_name,n_lists,mean_prob,sources
3091,HIF1A,hypoxia inducible factor 1 subunit alpha,14,0.9995,"logreg_16d,logreg_256d,svm_128d,svm_256d,svm_32d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
1399,CRKL,"CRK like proto-oncogene, adaptor protein",12,0.9990,"logreg_128d,logreg_256d,logreg_64d,svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d"
3551,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,11,1.0000,"svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
8517,IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,11,1.0000,"svm_128d,svm_256d,svm_32d,svm_512d,svm_64d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d"
997,CDC34,"cell division cycle 34, ubiquitin conjugating enzyme",11,1.0000,"svm_128d,svm_256d,svm_32d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
3667,IRS1,insulin receptor substrate 1,11,1.0000,"svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
10454,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,11,1.0000,"svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
2932,GSK3B,glycogen synthase kinase 3 beta,11,1.0000,"svm_128d,svm_16d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d"
8312,AXIN1,axin 1,11,1.0000,"svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
2475,MTOR,mechanistic target of rapamycin kinase,11,0.9993,"logreg_128d,logreg_64d,svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d"
4780,NFE2L2,NFE2 like bZIP transcription factor 2,10,1.0000,"svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
1027,CDKN1B,cyclin dependent kinase inhibitor 1B,10,1.0000,"svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
4361,MRE11,MRE11 double strand break repair nuclease,10,1.0000,"svm_128d,svm_256d,svm_512d,svm_64d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d"
